Name, |V| or n, |E| or m,Simple Randomized or Randomized-1,Simple Local or Local-1,,Grasp-1,,Known Best Solution or Upper Bound
,,,,Number of Iterations,Best Value,Number of Iterations,Best Value,
G1,800,19176,11021,90,11265,50,11345,12078
G2,800,19176,11027,91,11268,50,11337,12084
G3,800,19176,11020,90,11265,50,11331,12077
G4,800,19176,11037,92,11285,50,11341,
G5,800,19176,11021,91,11260,50,11360,
G6,800,19176,1548,94,1807,50,1895,
G7,800,19176,1391,92,1639,50,1707,
G8,800,19176,1374,97,1646,50,1733,
G9,800,19176,1426,94,1683,50,1769,
G10,800,19176,1376,94,1635,50,1711,
G11,800,1600,407,16,439,50,462,627
G12,800,1600,398,16,430,50,454,621
G13,800,1600,419,19,456,50,474,645
G14,800,4694,2866,48,2933,50,2958,3187
G15,800,4661,2845,49,2913,50,2940,3169
G16,800,4672,2853,46,2917,50,2939,3172
G17,800,4667,2849,50,2917,50,2945,
G18,800,4694,697,69,815,50,856,
G19,800,4661,616,71,739,50,791,
G20,800,4672,647,70,769,50,813,
G21,800,4667,638,72,762,50,816,
G22,2000,19990,12348,189,12728,50,12844,14123
G23,2000,19990,12349,183,12718,50,12809,14129
G24,2000,19990,12363,184,12730,50,12810,14131
G25,2000,19990,12355,186,12731,50,12813,
G26,2000,19990,12349,185,12724,50,12817,
G27,2000,19990,2317,191,2708,50,2779,
G28,2000,19990,2278,195,2676,50,2793,
G29,2000,19990,2382,195,2778,50,2874,
G30,2000,19990,2393,196,2790,50,2874,
G31,2000,19990,2285,197,2690,50,2791,
G32,2000,4000,1013,42,1098,50,1138,1560
G33,2000,4000,981,44,1070,50,1112,1537
G34,2000,4000,974,44,1064,50,1096,1541
G35,2000,11778,7185,120,7351,50,7394,8000
G36,2000,11766,7178,118,7342,50,7378,7996
G37,2000,11785,7191,120,7358,50,7402,8009
G38,2000,11779,7183,120,7354,50,7391,
G39,2000,11778,1681,174,1985,50,2043,
G40,2000,11766,1648,175,1955,50,2014,
G41,2000,11785,1667,171,1969,50,2022,
G42,2000,11779,1731,180,2046,50,2107,
G43,1000,9990,6170,92,6353,50,6410,7027
G44,1000,9990,6170,96,6359,50,6407,7022
G45,1000,9990,6172,91,6355,50,6422,7020
G46,1000,9990,6166,93,6353,50,6413,
G47,1000,9990,6171,93,6359,50,6444,
G48,3000,6000,4902,76,5077,50,5154,6000
G49,3000,6000,4896,74,5068,50,5170,6000
G50,3000,6000,4899,75,5075,50,5148,5988
G51,1000,5909,3599,59,3681,50,3707,
G52,1000,5916,3602,60,3685,50,3726,
G53,1000,5914,3602,60,3686,50,3719,
G54,1000,5916,3605,58,3686,50,3716,
