Name, |V| or n, |E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1,Simple Local or Local-1,,Grasp-1,,Known Best Solution or Upper Bound
,,,,,,Number of Iterations,Best Value,Number of Iterations,Best Value
G1,800,19176,11022,11261,11201,59,11342,200,11444
G2,800,19176,11027,11268,11200,59,11342,200,11426
G3,800,19176,11019,11264,11197,58,11338,200,11454
G11,800,1600,411,482,442,10,461,200,492
G12,800,1600,397,471,425,11,447,200,474
G13,800,1600,419,495,450,11,472,200,500
G14,800,4694,2867,2947,2938,24,2968,200,2990
G15,800,4661,2848,2922,2917,24,2946,200,2975
G16,800,4672,2853,2926,2922,24,2952,200,2979
G22,2000,19990,12350,12791,12704,100,12885,200,12994
G23,2000,19990,12358,12795,12710,98,12891,200,13020
G24,2000,19990,12358,12792,12704,100,12887,200,12964
G32,2000,4000,1017,1192,1095,25,1145,200,1200
G33,2000,4000,983,1182,1064,26,1116,200,1164
G34,2000,4000,977,1177,1072,26,1125,200,1176
G35,2000,11778,7184,7379,7365,58,7440,200,7483
G36,2000,11766,7176,7374,7359,59,7433,200,7482
G37,2000,11785,7190,7385,7368,59,7443,200,7492
G43,1000,9990,6170,6386,6332,53,6428,200,6507
G44,1000,9990,6169,6382,6334,52,6429,200,6508
G45,1000,9990,6169,6383,6330,53,6425,200,6509
G48,3000,6000,4894,6000,5743,2,5747,200,6000
G49,3000,6000,4901,6000,5742,2,5747,200,6000
G50,3000,6000,4902,5880,5731,2,5735,200,5864
