Name, |V| or n, |E| or m,Semi-greedy-1 ? = 0.2,Simple Local or Local-1,,Grasp-1,,Known Best Solution or Upper Bound
,,,,Number of Iterations,Best Value,Number of Iterations,Best Value,
G1,800,19176,11028,91,11268,50,11329,12078
G2,800,19176,11032,89,11276,50,11359,12084
G3,800,19176,11019,92,11268,50,11355,12077
G11,800,1600,411,16,443,50,468,627
G12,800,1600,397,17,430,50,454,621
G13,800,1600,418,18,453,50,484,645
G14,800,4694,2913,32,2956,50,2980,3187
G15,800,4661,2896,32,2937,50,2956,3169
G16,800,4672,2899,32,2941,50,2960,3172
G22,2000,19990,12377,179,12739,50,12811,14123
G23,2000,19990,12372,183,12738,50,12861,14129
G24,2000,19990,12375,180,12737,50,12831,14131
G32,2000,4000,1016,42,1102,50,1144,1560
G33,2000,4000,986,43,1074,50,1108,1537
G34,2000,4000,977,43,1064,50,1104,1541
G35,2000,11778,7313,76,7414,50,7444,8000
G36,2000,11766,7309,78,7411,50,7459,7996
G37,2000,11785,7319,76,7419,50,7456,8009
G43,1000,9990,6175,90,6357,50,6408,7027
G44,1000,9990,6176,92,6359,50,6429,7022
G45,1000,9990,6185,90,6366,50,6413,7020
G48,3000,6000,4904,76,5082,50,5162,6000
G49,3000,6000,4891,76,5068,50,5172,6000
G50,3000,6000,4898,76,5077,50,5160,5988
