Name, |V| or n, |E| or m,Semi-greedy-1                      ?= 0.4,Simple Local or Local-1,,Grasp-1,,Known Best Solution or Upper Bound
,,,,Number of Iterations,Best Value,Number of Iterations,Best Value,
G1,800,19176,11066,81,11280,50,11399,12078
G2,800,19176,11072,80,11283,50,11350,12084
G3,800,19176,11071,81,11281,50,11376,12077
G11,800,1600,416,14,445,50,468,627
G12,800,1600,401,15,431,50,454,621
G13,800,1600,421,17,455,50,492,645
G14,800,4694,2931,27,2966,50,2984,3187
G15,800,4661,2907,28,2944,50,2965,3169
G16,800,4672,2912,27,2947,50,2971,3172
G22,2000,19990,12523,142,12797,50,12900,14123
G23,2000,19990,12513,143,12794,50,12880,14129
G24,2000,19990,12515,145,12796,50,12886,14131
G32,2000,4000,1021,40,1103,50,1144,1560
G33,2000,4000,990,41,1074,50,1102,1537
G34,2000,4000,984,40,1067,50,1100,1541
G35,2000,11778,7351,65,7434,50,7474,8000
G36,2000,11766,7340,64,7423,50,7458,7996
G37,2000,11785,7349,66,7433,50,7469,8009
G43,1000,9990,6242,73,6383,50,6454,7027
G44,1000,9990,6230,77,6380,50,6437,7022
G45,1000,9990,6239,74,6381,50,6450,7020
G48,3000,6000,5326,30,5388,50,5638,6000
G49,3000,6000,5356,26,5410,50,5632,6000
G50,3000,6000,5360,28,5419,50,5730,5988
