Name, |V| or n, |E| or m,Semi-greedy-1                   ? = 0.6,Simple Local or Local-1,,Grasp-1,,Known Best Solution or Upper Bound
,,,,Number of Iterations,Best Value,Number of Iterations,Best Value,
G1,800,19176,11154,66,11315,50,11399,12078
G2,800,19176,11163,63,11319,50,11406,12084
G3,800,19176,11168,64,11329,50,11406,12077
G11,800,1600,419,14,447,50,468,627
G12,800,1600,405,14,434,50,456,621
G13,800,1600,429,16,462,50,496,645
G14,800,4694,2934,25,2965,50,2988,3187
G15,800,4661,2914,24,2944,50,2961,3169
G16,800,4672,2916,26,2948,50,2981,3172
G22,2000,19990,12670,110,12875,50,12964,14123
G23,2000,19990,12658,107,12858,50,12927,14129
G24,2000,19990,12668,106,12864,50,12966,14131
G32,2000,4000,1030,38,1108,50,1156,1560
G33,2000,4000,1000,40,1081,50,1134,1537
G34,2000,4000,1001,38,1078,50,1130,1541
G35,2000,11778,7359,58,7434,50,7475,8000
G36,2000,11766,7353,61,7432,50,7473,7996
G37,2000,11785,7364,60,7440,50,7480,8009
G43,1000,9990,6307,54,6408,50,6469,7027
G44,1000,9990,6309,58,6417,50,6467,7022
G45,1000,9990,6309,58,6417,50,6482,7020
G48,3000,6000,5694,3,5699,50,5876,6000
G49,3000,6000,5707,3,5713,50,6000,6000
G50,3000,6000,5701,3,5706,50,5846,5988
