Name, |V| or n, |E| or m,Semi-greedy-1                    ? = 0.8,Simple Local or Local-1,,Grasp-1,,Known Best Solution or Upper Bound
,,,,Number of Iterations,Best Value,Number of Iterations,Best Value,
G1,800,19176,11229,53,11356,50,11427,12078
G2,800,19176,11226,52,11349,50,11418,12084
G3,800,19176,11233,53,11358,50,11434,12077
G11,800,1600,465,7,477,50,506,627
G12,800,1600,448,7,462,50,480,621
G13,800,1600,472,8,488,50,518,645
G14,800,4694,2941,22,2969,50,2988,3187
G15,800,4661,2916,24,2946,50,2966,3169
G16,800,4672,2924,23,2952,50,2976,3172
G22,2000,19990,12750,87,12905,50,12977,14123
G23,2000,19990,12748,87,12903,50,12989,14129
G24,2000,19990,12747,90,12911,50,12999,14131
G32,2000,4000,1140,18,1176,50,1218,1560
G33,2000,4000,1121,18,1156,50,1192,1537
G34,2000,4000,1129,19,1167,50,1204,1541
G35,2000,11778,7376,54,7445,50,7476,8000
G36,2000,11766,7368,56,7438,50,7466,7996
G37,2000,11785,7378,54,7445,50,7489,8009
G43,1000,9990,6359,45,6440,50,6492,7027
G44,1000,9990,6356,43,6433,50,6505,7022
G45,1000,9990,6356,44,6434,50,6504,7020
G48,3000,6000,5731,2,5735,50,5874,6000
G49,3000,6000,5745,2,5749,50,6000,6000
G50,3000,6000,5731,2,5734,50,5858,5988
